,0,1,2,3,4,5,Newspaper,Goose,DiffBot_API,Actual_Authors,Notes
0,68816,http://www.uproxx.com/#spider,uproxx.com,13798986.6159,Left,http://uproxx.com/realtalk/post-malone-lil-b-tweets-white-rapper/#comments,"[Andre Gee, Elias Leight, Caitlin White, Steven Hyden, Aaron Williams]",[],[Andre Gee],ANDRE GEE,Additional Authors (listed after initial correct author) are from the by-lines of linked articles that include a by-line caption
0,19647,http://www.king5.com,king5.com,3044822.45631,Left,http://www.king5.com/news/nation-world/twitter-employee-temporarily-disabled-trumps-account/488693944,"[Usa Today, Charles Ventura, Am Pdt November]",[],"[Charles Ventura, USA TODAY]","Charles Ventura, USA TODAY , TEGNA",One listed “author” (the parent company of the site) is skipped and a chunk of the date is picked up as an additional author
0,106699,http://forwardprogressives.com/,forwardprogressives.com,820889.031486,Left,https://forwardprogressives.com/rick-perry-claims-the-righteousness-of-fossil-fuels-can-prevent-sexual-assault/,[Allen Clifton],[],[Allen Clifton],Allen Clifton,
0,78,http://www.sltrib.com/,sltrib.com,3763657.91868,Left,http://www.sltrib.com/news/2017/10/31/shots-fired-near-university-of-utah/,"[Mariah Noble, Bob Mims, Rachel Piper]",[],[],"Mariah Noble, Bob Mims, Rachel Piper",
0,283464,http://www.aljazeera.com/topics/country/india.html,aljazeera.com,17731664.204,Center Left,http://www.aljazeera.net/news/cultureandart/2017/11/3/جائزة-الملتقى-للقصة-العربية-تعلن-قائمتها-القصيرة,[],Goose ERROR,ERROR,NONE,This article is in Arabic. Newspaper just returns an empty array. Goose panics and returns an error.
0,19320,http://www.smh.com.au,smh.com.au,31784421.6949,Center Left,http://www.smh.com.au/rugby-league/matt-callander-remembered-as-beautiful-and-caring-man-at-bondi-funeral-20171103-gzembl.html,[James Buckley],[James Buckley],[James Buckley],James Buckley,Meta tag and h5 rel property present to indicate the author. DiffBot gives authorURL too.
0,57766,http://topics.abcnews.go.com/,abcnews.go.com,53767390.6478,Center Left,http://abcnews.go.com/International/wireStory/zealand-repeats-offer-australia-camp-refugees-50904142,[Abc News],[],[nick perry],"NICK PERRY, ASSOCIATED PRESS ","Newspaper here relies on the meta author tag, which specifies Abc News. It ignores a clear “by” at the head of the article, in a div with the properties rel and class = “author”. DiffBot gets this one right, just lower cases it."
0,25798,http://www.detroitnews.com,detroitnews.com,5663077.58251,Center Left,http://www.detroitnews.com/detroit-mi/community/arts-and-entertainment/detroit-symphony-orchestra-max-m-fisher-music-center-313-576-5111,[],[],ERROR,NONE,"This is a 404 page. No erroneous authors detected, though no meta author tag present, which may have resulted in a mistaken result."
0,15,http://www.boston.com/bostonglobe/,boston.com,8125346.24208,Center Left,http://boston.com/sports/boston-celtics/2017/11/03/what-we-know-about-the-celtics-so-far-and-what-we-dont,[Paul Swydan],[],[Paul Swydan],Paul Swydan,A <meta property=“article:author”> is present in this success
0,21172,http://www.thefiscaltimes.com,thefiscaltimes.com,1028495.63684,Center,http://www.thefiscaltimes.com/latestnews/2017/11/03/European-shares-edge-higher-SocGen-weighs-banks-after-results,[],[],[],"Kit Rees and Julien Ponthus, Reuters ","<Attribute name=""author"">By Kit Rees and Julien Ponthus,</Attribute> in <PageMap><DataObject> ignored. Clear by-line. Also <div class=""author-name"">
DiffBot gets an image author attribution but no author [Reuters Staff]."
